link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,affiliated_countries
https://nips.cc/virtual/2021/poster/27382,Transparency & Explainability,Cockpit: A Practical Debugging Tool for the Training of Deep Neural Networks,"When engineers train deep learning models, they are very much ""flying blind"". Commonly used methods for real-time training diagnostics, such as monitoring the train/test loss, are limited. Assessing a network's training process solely through these performance indicators is akin to debugging software without access to internal states through a debugger. To address this, we present Cockpit, a collection of instruments that enable a closer look into the inner workings of a learning machine, and a more informative and meaningful status report for practitioners. It facilitates the identification of learning phases and failure modes, like ill-chosen hyperparameters. These instruments leverage novel higher-order information about the gradient distribution and curvature, which has only recently become efficiently accessible. We believe that such a debugging tool, which we open-source for PyTorch, is a valuable help in troubleshooting the training process. By revealing new insights, it also more generally contributes to explainability and interpretability of deep nets.","['Deep Learning', 'Optimization', 'Interpretability']",[],"['Frank Schneider', 'Felix Dangel', 'Philipp Hennig']","['University of Tübingen', 'Vector Institute, Toronto', 'University of Tübingen']","[None, None, None]"
https://nips.cc/virtual/2021/poster/26675,Transparency & Explainability,Dynamic Visual Reasoning by Learning Differentiable Physics Models from Video and Language,"In this work, we propose a unified framework, called Visual Reasoning with Differ-entiable Physics (VRDP), that can jointly learn visual concepts and infer physics models of objects and their interactions from videos and language. This is achieved by seamlessly integrating three components: a visual perception module, a concept learner, and a differentiable physics engine. The visual perception module parses each video frame into object-centric trajectories and represents them as latent scene representations. The concept learner grounds visual concepts (e.g., color, shape, and material) from these object-centric representations based on the language, thus providing prior knowledge for the physics engine. The differentiable physics model, implemented as an impulse-based differentiable rigid-body simulator, performs differentiable physical simulation based on the grounded concepts to infer physical properties, such as mass, restitution, and velocity, by fitting the simulated trajectories into the video observations. Consequently, these learned concepts and physical models can explain what we have seen and imagine what is about to happen in future and counterfactual scenarios. Integrating differentiable physics into the dynamic reasoning framework offers several appealing benefits.  More accurate dynamics prediction in learned physics models enables state-of-the-art performance on both synthetic and real-world benchmarks while still maintaining high transparency and interpretability; most notably, VRDP improves the accuracy of predictive and counterfactual questions by 4.5% and 11.5% compared to its best counterpart. VRDP is also highly data-efficient: physical parameters can be optimized from very few videos, and even a single video can be sufficient. Finally, with all physical parameters inferred, VRDP can quickly learn new concepts from a few examples.",['Interpretability'],[],"['Mingyu Ding', 'Zhenfang Chen', 'Tao Du', 'Ping Luo', 'Joshua B. Tenenbaum', 'Chuang Gan']","['University of California, Berkeley', 'MIT-IBM Watson AI lab', 'Tsinghua University', 'The University of', 'Massachusetts Institute of Technology', 'MIT-IBM Watson AI Lab']","[None, None, None, 'Hong Kong', None, None]"
https://nips.cc/virtual/2021/poster/26485,Transparency & Explainability,A Trainable Spectral-Spatial Sparse Coding Model for Hyperspectral Image Restoration,"Hyperspectral imaging offers new perspectives for diverse applications, ranging from the monitoring of the environment using airborne or satellite remote sensing, precision farming, food safety, planetary exploration, or astrophysics. Unfortunately, the spectral diversity of information comes at the expense of various sources of degradation,  and the lack of accurate ground-truth ""clean"" hyperspectral signals acquired on the spot makes restoration tasks challenging.  In particular, training deep neural networks for restoration is difficult, in contrast to traditional RGB imaging problems where deep models tend to shine. In this paper, we advocate instead for a hybrid approach based on sparse coding principles that retain the interpretability of classical techniques encoding domain knowledge with handcrafted image priors, while allowing to train model parameters end-to-end without massive amounts of data. We show on various denoising benchmarks that our method is computationally efficient and  significantly outperforms the state of the art.","['Deep Learning', 'Interpretability']",[],"['Theo Bodrito', 'Alexandre Zouaoui', 'Jocelyn Chanussot', 'Julien Mairal']","['INRIA', 'INRIA', 'INRIA', 'Inria']","[None, None, None, None]"
https://nips.cc/virtual/2021/poster/27060,Transparency & Explainability,Regulating algorithmic filtering on social media,"By filtering the content that users see, social media platforms have the ability to influence users' perceptions and decisions, from their dining choices to their voting preferences. This influence has drawn scrutiny, with many calling for regulations on filtering algorithms, but designing and enforcing regulations remains challenging. In this work, we examine three questions. First, given a regulation, how would one design an audit to enforce it? Second, does the audit impose a performance cost on the platform? Third, how does the audit affect the content that the platform is incentivized to filter? In response to these questions, we propose a method such that, given a regulation, an auditor can test whether that regulation is met with only black-box access to the filtering algorithm. We then turn to the platform's perspective. The platform's goal is to maximize an objective function while meeting regulation. We find that there are conditions under which the regulation does not place a high performance cost on the platform and, notably, that content diversity can play a key role in aligning the interests of the platform and regulators.",[],[],"['Sarah Cen', 'Devavrat Shah']","['Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']","[None, None]"
https://nips.cc/virtual/2021/poster/26454,Transparency & Explainability,Passive attention in artificial neural networks predicts human visual selectivity,"Developments in machine learning interpretability techniques over the past decade have provided new tools to observe the image regions that are most informative for classification and localization in artificial neural networks (ANNs). Are the same regions similarly informative to human observers? Using data from 79 new experiments and 7,810 participants, we show that passive attention techniques reveal a significant overlap with human visual selectivity estimates derived from 6 distinct behavioral tasks including visual discrimination, spatial localization, recognizability, free-viewing, cued-object search, and saliency search fixations. We find that input visualizations derived from relatively simple ANN architectures probed using guided backpropagation methods are the best predictors of a shared component in the joint variability of the human measures. We validate these correlational results with causal manipulations using recognition experiments. We show that images masked with ANN attention maps were easier for humans to classify than control masks in a speeded recognition experiment. Similarly, we find that recognition performance in the same ANN models was likewise influenced by masking input images using human visual selectivity maps. This work contributes a new approach to evaluating the biological and psychological validity of leading ANNs as models of human vision: by examining their similarities and differences in terms of their visual selectivity to the information contained in images.","['Deep Learning', 'Vision', 'Interpretability', 'Machine Learning']",[],"['Thomas A Langlois', 'Haicheng Charles Zhao', 'Erin Grant', 'Ishita Dasgupta', 'Thomas L. Griffiths', 'Nori Jacoby']","['Princeton University', 'Princeton University', 'University College London', 'DeepMind', 'Princeton University', 'Max-Planck Institute']","[None, None, None, None, None, None]"
https://nips.cc/virtual/2021/poster/28837,Transparency & Explainability,Learning interaction rules from multi-animal trajectories via augmented behavioral models,"Extracting the interaction rules of biological agents from movement sequences pose challenges in various domains. Granger causality is a practical framework for analyzing the interactions from observed time-series data; however, this framework ignores the structures and assumptions of the generative process in animal behaviors, which may lead to interpretational problems and sometimes erroneous assessments of causality. In this paper, we propose a new framework for learning Granger causality from multi-animal trajectories via augmented theory-based behavioral models with interpretable data-driven models. We adopt an approach for augmenting incomplete multi-agent behavioral models described by time-varying dynamical systems with neural networks. For efficient and interpretable learning, our model leverages theory-based architectures separating navigation and motion processes, and the theory-guided regularization for reliable behavioral modeling. This can provide interpretable signs of Granger-causal effects over time, i.e., when specific others cause the approach or separation. In experiments using synthetic datasets, our method achieved better performance than various baselines. We then analyzed multi-animal datasets of mice, flies, birds, and bats, which verified our method and obtained novel biological insights.","['Theory', 'Deep Learning', 'Causality', 'Interpretability']",[],"['Keisuke Fujii', 'Naoya Takeishi', 'Kazushi Tsutsui', 'Emyo Fujioka', 'Nozomi Nishiumi', 'Ryooya Tanaka', 'Kaoru Ide', 'Hiroyoshi Kohno', 'Ken Yoda', 'Susumu Takahashi', 'Shizuko Hiryu', 'Yoshinobu Kawahara']","['Nagoya University', 'The University of Tokyo', 'Nagoya University', 'Doshisha University', 'National Institute for Basic Biology', 'Nagoya University', 'Doshisha University', 'Tokai University', 'Nagoya University', 'Doshisha University', 'Doshisha University', 'Osaka University']","[None, None, None, None, None, None, None, None, None, None, None, None]"
https://nips.cc/virtual/2021/poster/28813,Transparency & Explainability,Scalable Rule-Based Representation Learning for Interpretable Classification,"Rule-based models, e.g., decision trees, are widely used in scenarios demanding high model interpretability for their transparent inner structures and good model expressivity. However, rule-based models are hard to optimize, especially on large data sets, due to their discrete parameters and structures. Ensemble methods and fuzzy/soft rules are commonly used to improve performance, but they sacrifice the model interpretability. To obtain both good scalability and interpretability, we propose a new classifier, named Rule-based Representation Learner (RRL), that automatically learns interpretable non-fuzzy rules for data representation and classification. To train the non-differentiable RRL effectively, we project it to a continuous space and propose a novel training method, called Gradient Grafting, that can directly optimize the discrete model using gradient descent. An improved design of logical activation functions is also devised to increase the scalability of RRL and enable it to discretize the continuous features end-to-end. Exhaustive experiments on nine small and four large data sets show that RRL outperforms the competitive interpretable approaches and can be easily adjusted to obtain a trade-off between classification accuracy and model complexity for different scenarios. Our code is available at: https://github.com/12wang3/rrl.","['Machine Learning', 'Optimization', 'Interpretability', 'Representation Learning']",[],"['Zhuo Wang', 'Wei Zhang', 'Ning Liu', 'Jianyong Wang']","['Tsinghua University, Tsinghua University', 'East  Normal University', 'Tsinghua University', 'Tsinghua University, Tsinghua University']","[None, 'China', None, None]"
https://nips.cc/virtual/2021/poster/28801,Transparency & Explainability,TransMIL: Transformer based Correlated Multiple Instance Learning for Whole Slide Image Classification,"Multiple instance learning (MIL) is a powerful tool to solve the weakly supervised classification in whole slide image (WSI) based pathology diagnosis. However, the current MIL methods are usually based on independent and identical distribution hypothesis, thus neglect the correlation among different instances. To address this problem, we proposed a new framework, called correlated MIL, and provided a proof for convergence. Based on this framework, we devised a Transformer based MIL (TransMIL), which explored both morphological and spatial information. The proposed TransMIL can effectively deal with unbalanced/balanced and binary/multiple classification with great visualization and interpretability. We conducted various experiments for three different computational pathology problems and achieved better performance and faster convergence compared with state-of-the-art methods. The test AUC for the binary tumor classification can be up to 93.09% over CAMELYON16 dataset. And the AUC over the cancer subtypes classification can be up to 96.03% and 98.82% over TCGA-NSCLC dataset and TCGA-RCC dataset, respectively. Implementation is available at: https://github.com/szc19990412/TransMIL.","['Transformers', 'Vision', 'Interpretability', 'Machine Learning']",[],"['Hao Bian', 'Yang Chen', 'Yifeng Wang', 'Jian Zhang', 'Xiangyang Ji', 'Yongbing Zhang']","['Tsinghua University, Tsinghua University', 'Tsinghua University, Tsinghua University', 'national university of singaore, National University of', 'Peking University', 'Tsinghua University', 'Harbin Institute of Technology']","[None, None, 'Singapore', None, None, None]"
https://nips.cc/virtual/2021/poster/28602,Transparency & Explainability,"CROCS: Clustering and Retrieval of Cardiac Signals Based on Patient Disease Class, Sex, and Age","The process of manually searching for relevant instances in, and extracting information from, clinical databases underpin a multitude of clinical tasks. Such tasks include disease diagnosis, clinical trial recruitment, and continuing medical education. This manual search-and-extract process, however, has been hampered by the growth of large-scale clinical databases and the increased prevalence of unlabelled instances. To address this challenge, we propose a supervised contrastive learning framework, CROCS, where representations of cardiac signals associated with a set of patient-specific attributes (e.g., disease class, sex, age) are attracted to learnable embeddings entitled clinical prototypes. We exploit such prototypes for both the clustering and retrieval of unlabelled cardiac signals based on multiple patient attributes. We show that CROCS outperforms the state-of-the-art method, DTC, when clustering and also retrieves relevant cardiac signals from a large database. We also show that clinical prototypes adopt a semantically meaningful arrangement based on patient attributes and thus confer a high degree of interpretability.","['Clustering', 'Interpretability', 'Contrastive Learning']",[],"['Dani Kiyasseh', 'Tingting Zhu', 'David A. Clifton']","['California Institute of Technology', 'University of Oxford', 'University of Oxford']","[None, None, None]"
https://nips.cc/virtual/2021/poster/28351,Transparency & Explainability,Learning Dynamic Graph Representation of Brain Connectome with Spatio-Temporal Attention,"Functional connectivity (FC) between regions of the brain can be assessed by the degree of temporal correlation measured with functional neuroimaging modalities. Based on the fact that these connectivities build a network, graph-based approaches for analyzing the brain connectome have provided insights into the functions of the human brain. The development of graph neural networks (GNNs) capable of learning representation from graph structured data has led to increased interest in learning the graph representation of the brain connectome. Although recent attempts to apply GNN to the FC network have shown promising results, there is still a common limitation that they usually do not incorporate the dynamic characteristics of the FC network which fluctuates over time. In addition, a few studies that have attempted to use dynamic FC as an input for the GNN reported a reduction in performance compared to static FC methods, and did not provide temporal explainability. Here, we propose STAGIN, a method for learning dynamic graph representation of the brain connectome with spatio-temporal attention. Specifically, a temporal sequence of brain graphs is input to the STAGIN to obtain the dynamic graph representation, while novel READOUT functions and the Transformer encoder provide spatial and temporal explainability with attention, respectively. Experiments on the HCP-Rest and the HCP-Task datasets demonstrate exceptional performance of our proposed method. Analysis of the spatio-temporal attention also provide concurrent interpretation with the neuroscientific knowledge, which further validates our method. Code is available at https://github.com/egyptdj/stagin","['Transformers', 'Deep Learning', 'Graph Learning', 'Interpretability']",[],"['Byung-Hoon Kim', 'Jong Chul Ye', 'Jae-Jin Kim']","['Massachusetts General Hospital, Harvard University', 'Korea Advanced Institute of Science and Technology', 'Yonsei University']","[None, None, None]"
