link,category,title,abstract,keywords,ccs_concepts,author_names,affiliations,author_countries
https://iclr.cc/virtual/2023/poster/11509,Transparency & Explainability,Expressive Monotonic Neural Networks,"The monotonic dependence of the outputs of a neural network on some of its inputs is a crucial inductive bias in many scenarios where domain knowledge dictates such behavior. This is especially important for interpretability and fairness considerations. In a broader context, scenarios in which monotonicity is important can be found in finance, medicine, physics, and other disciplines. It is thus desirable to build neural network architectures that implement this inductive bias provably. In this work, we propose a weight-constrained architecture with a single residual connection to achieve exact monotonic dependence in any subset of the inputs. The weight constraint scheme directly controls the Lipschitz constant of the neural network and thus provides the additional benefit of robustness. Compared to currently existing techniques used for monotonicity, our method is simpler in implementation and in theory foundations, has negligible computational overhead, is guaranteed to produce monotonic dependence, and is highly expressive. We show how the algorithm is used to train powerful, robust, and interpretable discriminators that achieve competitive performance compared to current state-of-the-art methods across various benchmarks, from social applications to the classification of the decays of subatomic particles produced at the CERN Large Hadron Collider.","['Social Aspects of Machine Learning', 'lipschitz', 'monotonic']",[],"['Niklas Nolte', 'Ouail Kitouni', 'Mike Williams']","['Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']",[]
https://iclr.cc/virtual/2023/poster/11585,Transparency & Explainability,Jointly Learning Visual and Auditory Speech Representations from Raw Data,"We present RAVEn, a self-supervised multi-modal approach to jointly learn visual and auditory speech representations. Our pre-training objective involves encoding masked inputs, and then predicting contextualised targets generated by slowly-evolving momentum encoders. Driven by the inherent differences between video and audio, our design is asymmetric w.r.t. the two modalities' pretext tasks: Whereas the auditory stream predicts both the visual and auditory targets, the visual one predicts only the auditory targets. We observe strong results in low- and high-resource labelled data settings when fine-tuning the visual and auditory encoders resulting from a single pre-training stage, in which the encoders are jointly trained. Notably, RAVEn surpasses all self-supervised methods on visual speech recognition (VSR) on LRS3, and combining RAVEn with self-training using only 30 hours of labelled data even outperforms a recent semi-supervised method trained on 90,000 hours of non-public data. At the same time, we achieve state-of-the-art results in the LRS3 low-resource setting for auditory speech recognition (as well as for VSR). Our findings point to the viability of learning powerful speech representations entirely from raw video and audio, i.e., without relying on handcrafted features. Code and models are available at https://github.com/ahaliassos/raven.","['Unsupervised and Self-supervised learning', 'lipreading', 'self-supervised learning', 'speech recognition']",[],"['Alexandros Haliassos', 'Pingchuan Ma', 'Rodrigo Mira', 'Stavros Petridis', 'Maja Pantic']","['Imperial College London', 'Facebook', 'Meta', 'Facebook', 'Facebook']",[]
https://iclr.cc/virtual/2023/poster/11477,Transparency & Explainability,Interpretable Debiasing of Vectorized Language Representations with Iterative Orthogonalization,"We propose a new mechanism to augment a word vector embedding representation that offers improved bias removal while retaining the key information—resulting in improved interpretability of the representation. Rather than removing the information associated with a concept that may induce bias, our proposed method identifies two concept subspaces and makes them orthogonal. The resulting representation has these two concepts uncorrelated. Moreover, because they are orthogonal, one can simply apply a rotation on the basis of the representation so that the resulting subspace corresponds with coordinates. This explicit encoding of concepts to coordinates works because they have been made fully orthogonal, which previous approaches do not achieve. Furthermore, we show that this can be extended to multiple subspaces. As a result, one can choose a subset of concepts to be represented transparently and explicitly, while the others are retained in the mixed but extremely expressive format of the representation.","['Deep Learning and representational learning', 'pre-trained contextualized embeddings', 'ethics', 'static embeddings', 'natural language processing', 'bias', 'debiasing', 'fairness']",[],"['Prince Osei Aboagye', 'Yan Zheng', 'Jack Shunn', 'Chin-Chia Michael Yeh', 'Junpeng Wang', 'Zhongfang Zhuang', 'Huiyuan Chen', 'Liang Wang', 'Wei Zhang', 'Jeff M. Phillips']","['University of Utah', 'VISA', 'University of Utah', 'VISA', 'VISA', 'VISA', 'VISA', 'VISA', 'VISA', 'University of Utah']",[]
https://iclr.cc/virtual/2023/poster/11080,Transparency & Explainability,HiT-MDP: Learning the SMDP option framework on MDPs with Hidden Temporal Embeddings,"The standard option framework is developed on the Semi-Markov Decision Process (SMDP) which is unstable to optimize and sample inefficient. To this end, we propose the Hidden Temporal MDP (HiT-MDP) and prove that the option-induced HiT-MDP is homomorphic equivalent to the option-induced SMDP. A novel transformer-based framework is introduced to learn options' embedding vectors (rather than conventional option tuples) on HiT-MDPs. We then derive a stable and sample efficient option discovering method under the maximum-entropy policy gradient framework. Extensive experiments on challenging Mujoco environments demonstrate HiT-MDP's efficiency and effectiveness: under widely used configurations, HiT-MDP achieves competitive, if not better, performance compared to the state-of-the-art baselines on all finite horizon and transfer learning environments. Moreover, HiT-MDP significantly outperforms all baselines on infinite horizon environments while exhibiting smaller variance, faster convergence, and better interpretability. Our work potentially sheds light on the theoretical ground of extending the option framework into a large-scale foundation model.","['Reinforcement Learning', 'reinforcement learning', 'markov decision process', 'Hiearchical Reinforcement Learning']",[],"['Chang Li', 'Dongjin Song', 'Dacheng Tao']","['University of Sydney', 'University of Connecticut', 'University of Sydney']",[]
https://iclr.cc/virtual/2023/poster/11475,Transparency & Explainability,Continuous-time identification of dynamic state-space models by deep subspace encoding,"Continuous-time (CT) modeling has proven to provide improved sample efficiency and interpretability in learning the dynamical behavior of physical systems compared to discrete-time (DT) models. However, even with numerous recent developments, the CT nonlinear state-space (NL-SS) model identification problem remains to be solved in full, considering common experimental aspects such as the presence of external inputs, measurement noise, latent states, and general robustness. This paper presents a novel estimation method that addresses all these aspects and that can obtain state-of-the-art results on multiple benchmarks with compact fully connected neural networks capturing the CT dynamics. The proposed estimation method called the subspace encoder approach (SUBNET) ascertains these results by efficiently approximating the complete simulation loss by evaluating short simulations on subsections of the data, by using an encoder function to estimate the initial state for each subsection and a novel state-derivative normalization to ensure stability and good numerical conditioning of the training process. We prove that the use of subsections increases cost function smoothness together with the necessary requirements for the existence of the encoder function and we show that the proposed state-derivative normalization is essential for reliable estimation of CT NL-SS models.","['Deep Learning and representational learning', 'Artificial Neural Networks', 'State-space', 'Continuous-time']",[],"['Gerben I. Beintema', 'Maarten Schoukens', 'Roland Toth']","['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Delft University of Technology']",[]
https://iclr.cc/virtual/2023/poster/11150,Transparency & Explainability,AE-FLOW: Autoencoders with Normalizing Flows  for  Medical Images Anomaly Detection,"Anomaly detection from medical images is an important task for clinical screening and diagnosis. In general, a large dataset of normal images are available while only few abnormal images can be collected in clinical practice. By mimicking the diagnosis process of radiologists, we attempt to tackle this problem by learning a tractable distribution of normal images and identify anomalies by differentiating the original image and the reconstructed normal image. More specifically, we propose a normalizing flow-based autoencoder for an efficient and tractable representation of normal medical images. The anomaly score consists of the likelihood originated from the normalizing  flow  and the reconstruction error of the autoencoder, which allows to identify the abnormality and provide an interpretability at both image and pixel levels. Experimental evaluation on two  medical images datasets showed that the proposed model outperformed the other approaches by a large margin, which validated the  effectiveness and robustness of the proposed method.","['Applications', 'Normalizing Flow', 'anomaly detection', 'Auto-encoder.']",[],"['Yuzhong Zhao', 'Qiaoqiao Ding', 'Xiaoqun Zhang']","['Shanghai Jiao Tong University', 'Shanghai Jiaotong University', 'Shanghai Jiaotong University']",[]
https://iclr.cc/virtual/2023/poster/11220,Transparency & Explainability,DAVA: Disentangling Adversarial Variational Autoencoder,"The use of well-disentangled representations offers many advantages for downstream tasks, e.g. an increased sample efficiency, or better interpretability.However, the quality of disentangled interpretations is often highly dependent on the choice of dataset-specific hyperparameters, in particular the regularization strength.To address this issue, we introduce DAVA, a novel training procedure for variational auto-encoders. DAVA completely alleviates the problem of hyperparameter selection.We compare DAVA to models with optimal hyperparameters.Without any hyperparameter tuning, DAVA is competitive on a diverse range of commonly used datasets.Underlying DAVA, we discover a necessary condition for unsupervised disentanglement, which we call PIPE.We demonstrate the ability of PIPE to positively predict the performance of downstream models in abstract reasoning.We also thoroughly investigate correlations with existing supervised and unsupervised metrics. The code is available at https://github.com/besterma/dava.","['Unsupervised and Self-supervised learning', 'varational auto-encoder', 'Disentanglement learning', 'generative adversarial networks', 'curriculum learning']",[],"['Benjamin Estermann', 'Roger Wattenhofer']","['ETHZ - ETH Zurich', 'Swiss Federal Institute of Technology']",[]
https://iclr.cc/virtual/2023/poster/11341,Transparency & Explainability,Interpretability in the Wild: a Circuit for Indirect Object Identification in GPT-2 Small,"Research in mechanistic interpretability seeks to explain behaviors of ML models in terms of their internal components. However, most previous work either focuses on simple behaviors in small models, or describes complicated behaviors in larger models with broad strokes. In this work, we bridge this gap by presenting an explanation for how GPT-2 small performs a natural language task that requires logical reasoning: indirect object identification (IOI). Our explanation encompasses 28 attention heads grouped into 7 main classes, which we discovered using a combination of interpretability approaches including causal interventions and projections.To our knowledge, this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior ""in the wild"" in a language model.  We evaluate the reliability of our explanation using three quantitative criteria - faithfulness, completeness and minimality. Though these criteria support our explanation, they also point to remaining gaps in our understanding. Our work provides evidence that a mechanistic understanding of large ML models is feasible, opening opportunities to scale our understanding to both larger models and more complex tasks.","['Social Aspects of Machine Learning', 'transparency', 'interpretability', 'transformers', 'language models', 'Mechanistic Interpretability', 'Science of ML']",[],"['Kevin Ro Wang', 'Alexandre Variengien', 'Arthur Conmy', 'Buck Shlegeris', 'Jacob Steinhardt']","['Redwood Research', 'Conjecture', 'Google DeepMind', 'Redwood Research', 'University of California Berkeley']",[]
https://iclr.cc/virtual/2023/poster/11272,Transparency & Explainability,CUTS: Neural Causal Discovery from Irregular Time-Series Data,"Causal discovery from time-series data has been a central task in machine learning. Recently, Granger causality inference is gaining momentum due to its good explainability and high compatibility with emerging deep neural networks. However, most existing methods assume structured input data and degenerate greatly when encountering data with randomly missing entries or non-uniform sampling frequencies, which hampers their applications in real scenarios. To address this issue, here we present CUTS, a neural Granger causal discovery algorithm to jointly impute unobserved data points and build causal graphs, via plugging in two mutually boosting modules in an iterative framework: (i) Latent data prediction stage: designs a Delayed Supervision Graph Neural Network (DSGNN) to hallucinate and register unstructured data which might be of high dimension and with complex distribution; (ii) Causal graph fitting stage: builds a causal adjacency matrix with imputed data under sparse penalty. Experiments show that CUTS effectively infers causal graphs from irregular time-series data, with significantly superior performance to existing methods. Our approach constitutes a promising step towards applying causal discovery to real applications with non-ideal observations.","['Probabilistic Methods', 'graph neural networks', 'Granger causality', 'neural networks', 'causal discovery', 'time series']",[],"['Yuxiao Cheng', 'Runzhao Yang', 'Tingxiong Xiao', 'Zongren Li', 'Jinli Suo', 'Kunlun He', 'Qionghai Dai']","['Tsinghua University, Tsinghua University', 'Department of Automation, Tsinghua University', 'Tsinghua University, Tsinghua University', 'National University of Defense Technology', 'Tsinghua University, Tsinghua University', 'Chinese PLA General hospital', 'Tsinghua University, Tsinghua University']",[]
https://iclr.cc/virtual/2023/poster/11290,Transparency & Explainability,Knowledge-in-Context: Towards Knowledgeable Semi-Parametric Language Models,"Fully-parametric language models generally require a huge number of model parameters to store the necessary knowledge for solving multiple natural language tasks in zero/few-shot settings. In addition, it is hard to adapt to the evolving world knowledge without the costly model re-training. In this paper, we develop a novel semi-parametric language model architecture, Knowledge-in-Context (KiC), which empowers a parametric text-to-text language model with a knowledge-rich external memory. Specifically, the external memory contains six different types of knowledge:  entity,  dictionary, commonsense, event, script, and causality knowledge. For each input instance, the KiC model adaptively selects a knowledge type and retrieves the most helpful pieces of knowledge. The input instance along with its knowledge augmentation is fed into a text-to-text model (e.g., T5) to generate the output answer, where both the input and the output are in natural language forms after prompting. Interestingly, we find that KiC can be identified as a special mixture-of-experts (MoE) model, where the knowledge selector plays the role of a router that is used to determine the sequence-to-expert assignment in MoE. This key observation inspires us to develop a novel algorithm for training KiC with an instance-adaptive knowledge selector. As a knowledge-rich semi-parametric language model, KiC only needs a much smaller parametric part to achieve superior zero-shot performance on unseen tasks. By evaluating on 40+ different tasks, we show that KiC-Large with 770M parameters easily outperforms large language models that are 4-39x larger. In addition, KiC also exhibits emergent abilities at a much smaller model scale compared to the fully-parametric models.","['Applications', 'Semi-parametric language model', 'text-to-text model', 'mixture-of-experts', 'natural language understanding']",[],"['Xiaoman Pan', 'Wenlin Yao', 'Hongming Zhang', 'Dian Yu', 'Dong Yu', 'Jianshu Chen']","['Tencent AI Lab', 'Tencent AI Lab', 'Tencent AI Lab Seattle', 'Tencent AI Lab', 'Tencent AI Lab', 'Tencent AI Lab']",[]
