link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries,,,,,,,
https://nips.cc/virtual/2023/poster/72134,Transparency & Explainability,SHAP-IQ: Unified Approximation of any-order Shapley Interactions,"Predominately in explainable artificial intelligence (XAI) research, the Shapley value (SV) is applied to determine feature attributions for any black box model. Shapley interaction indices extend the SV to define any-order feature interactions. Defining a unique Shapley interaction index is an open research question and, so far, three definitions have been proposed, which differ by their choice of axioms. Moreover, each definition requires a specific approximation technique. Here, we propose SHAPley Interaction Quantification (SHAP-IQ), an efficient sampling-based approximator to compute Shapley interactions for arbitrary cardinal interaction indices (CII), i.e. interaction indices that satisfy the linearity, symmetry and dummy axiom. SHAP-IQ is based on a novel representation and, in contrast to existing methods, we provide theoretical guarantees for its approximation quality, as well as estimates for the variance of the point estimates. For the special case of SV, our approach reveals a novel representation of the SV and corresponds to Unbiased KernelSHAP with a greatly simplified calculation. We illustrate the computational efficiency and effectiveness by explaining language, image classification and high-dimensional synthetic models.","['Explainable Artificial Intelligence', 'Feature Interaction', 'Shapley Interaction', 'Shapley Value']",[],"['Fabian Fumagalli', 'Maximilian Muschalik', 'Patrick Kolpaczki', 'Eyke Hüllermeier', 'Barbara Eva Hammer']","['Universität Bielefeld', 'Institute of Computer Science, Ludwig-Maximilians-Universität München', 'Universität Paderborn', 'Ludwig-Maximilians-Universität München', 'Universität Bielefeld']","[None, None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/74159,Transparency & Explainability,Reproducibility Study of ”Label-Free Explainability for Unsupervised Models”,"In this work, we present our reproducibility study of ""Label-Free Explainability for Unsupervised Models"", a paper that introduces two post‐hoc explanation techniques for neural networks: (1) label‐free feature importance and (2) label‐free example importance. Our study focuses on the reproducibility of the authors’ most important claims: (i) perturbing features with the highest importance scores causes higherlatent shift than perturbing random pixels, (ii) label‐free example importance scores help to identify training examples that are highly related to a given test example, (iii) unsupervised models trained on different tasks show moderate correlation among the highest scored features and (iv) low correlation in example scores measured on a fixed set of data points, and (v) increasing the disentanglement with β in a β‐VAE does not imply that latent units will focus on more different features. We reviewed the authors’ code, checked if the implementation of experiments matched with the paper, and also ran all experiments. The results are shown to be reproducible. Moreover, we extended the codebase in order to run the experiments on more datasets, and to test the claims with other experiments.","['Explainable AI', 'Unsupervised Learning', 'Feature Importance', 'Example Importance']",[],"['Julius Wagenbach', 'Gergely Papp', 'Niklas Mather', 'Laurens Jan de Vries']","['University of Amsterdam', 'University of Amsterdam', 'University of Amsterdam', 'University of Amsterdam, University of Amsterdam']","[None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/70181,Transparency & Explainability,Disentangled Counterfactual Learning for Physical Audiovisual Commonsense Reasoning,"In this paper, we propose a Disentangled Counterfactual Learning (DCL) approach for physical audiovisual commonsense reasoning. The task aims to infer objects’ physics commonsense based on both video and audio input, with the main challenge is how to imitate the reasoning ability of humans. Most of the current methods fail to take full advantage of different characteristics in multi-modal data, and lacking causal reasoning ability in models impedes the progress of implicit physical knowledge inferring. To address these issues, our proposed DCL method decouples videos into static (time-invariant) and dynamic (time-varying) factors in the latent space by the disentangled sequential encoder, which adopts a variational autoencoder (VAE) to maximize the mutual information with a contrastive loss function. Furthermore, we introduce a counterfactual learning module to augment the model’s reasoning ability by modeling physical knowledge relationships among different objects under counterfactual intervention. Our proposed method is a plug-and-play module that can be incorporated into any baseline. In experiments, we show that our proposed method improves baseline methods and achieves state-of-the-art performance. Our source code is available at https://github.com/Andy20178/DCL.",['Physical Audiovisual；Commonsense Reasoning'],[],"['Changsheng Lv', 'Shuai Zhang', 'Yapeng Tian', 'Mengshi Qi', 'Huadong Ma']","['Beijing University of Posts and Telecommunications', 'Beijing University of Posts and Telecommunications', 'University of Texas at Dallas', 'Beijing University of Posts and Telecommunications', 'Beijing University of Post and Telecommunication, Tsinghua University']","[None, None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/73495,Transparency & Explainability,Revisiting Evaluation Metrics for Semantic Segmentation: Optimization and Evaluation of Fine-grained Intersection over Union,"Semantic segmentation datasets often exhibit two types of imbalance: \textit{class imbalance}, where some classes appear more frequently than others and \textit{size imbalance}, where some objects occupy more pixels than others. This causes traditional evaluation metrics to be biased towards \textit{majority classes} (e.g. overall pixel-wise accuracy) and \textit{large objects} (e.g. mean pixel-wise accuracy and per-dataset mean intersection over union). To address these shortcomings, we propose the use of fine-grained mIoUs along with corresponding worst-case metrics, thereby offering a more holistic evaluation of segmentation techniques. These fine-grained metrics offer less bias towards large objects, richer statistical information, and valuable insights into model and dataset auditing. Furthermore, we undertake an extensive benchmark study, where we train and evaluate 15 modern neural networks with the proposed metrics on 12 diverse natural and aerial segmentation datasets. Our benchmark study highlights the necessity of not basing evaluations on a single metric and confirms that fine-grained mIoUs reduce the bias towards large objects. Moreover, we identify the crucial role played by architecture designs and loss functions, which lead to best practices in optimizing fine-grained metrics. The code is available at \href{https://github.com/zifuwanggg/JDTLosses}{https://github.com/zifuwanggg/JDTLosses}.",['Semantic Segmentation'],[],"['Zifu Wang', 'Maxim Berman', 'Amal Rannen-Triki', 'Philip Torr', 'Devis Tuia', 'Tinne Tuytelaars', 'Luc Van Gool', 'Jiaqian Yu', 'Matthew B. Blaschko']","['KU Leuven', 'Google', 'Google DeepMind', 'University of Oxford', 'EPFL - EPF Lausanne', 'KU Leuven', 'INSAIT - Sofia Un.', 'Samsung Research -Beijing', 'KU Leuven']","[None, None, None, None, None, None, None, 'China', None]",,,,,,,
https://nips.cc/virtual/2023/poster/70998,Transparency & Explainability,SmoothHess: ReLU Network Feature Interactions via Stein's Lemma,"Several recent methods for interpretability model feature interactions by looking at the Hessian of a neural network. This poses a challenge for ReLU networks, which are piecewise-linear and thus have a zero Hessian almost everywhere. We propose SmoothHess, a method of estimating second-order interactions through Stein's Lemma. In particular, we estimate the Hessian of the network convolved with a Gaussian through an efficient sampling algorithm, requiring only network gradient calls. SmoothHess is applied post-hoc, requires no modifications to the ReLU network architecture, and the extent of smoothing can be controlled explicitly. We provide a non-asymptotic bound on the sample complexity of our estimation procedure. We validate the superior ability of SmoothHess to capture interactions on benchmark datasets and a real-world medical spirometry dataset.","['Interpretability', 'Feature Interactions', ""Stein's Lemma""]",[],"['Max Torop', 'Aria Masoomi', 'Kivanc Kose', 'Stratis Ioannidis', 'Jennifer Dy']","['Northeastern University', 'Northeastern University', 'Memorial Sloan Kettering Cancer Centre', 'Northeastern University', 'Northeastern University']","[None, None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/73478,Transparency & Explainability,FIND: A Function Description Benchmark for Evaluating Interpretability Methods,"Labeling neural network submodules with human-legible descriptions is useful for many downstream tasks: such descriptions can surface failures, guide interventions, and perhaps even explain important model behaviors. To date, most mechanistic descriptions of trained networks have involved small models, narrowly delimited phenomena, and large amounts of human labor. Labeling all human-interpretable sub-computations in models of increasing size and complexity will almost certainly require tools that can generate and validate descriptions automatically. Recently, techniques that use learned models in-the-loop for labeling have begun to gain traction, but methods for evaluating their efficacy are limited and ad-hoc. How should we validate and compare open-ended labeling tools? This paper introduces FIND (Function INterpretation and Description), a benchmark suite for evaluating the building blocks of automated interpretability methods. FIND contains functions that resemble components of trained neural networks, and accompanying descriptions of the kind we seek to generate. The functions are procedurally constructed across textual and numeric domains, and involve a range of real-world complexities, including noise, composition, approximation, and bias. We evaluate methods that use pretrained language models (LMs) to produce code-based and natural language descriptions of function behavior. Additionally, we introduce a new interactive method in which an Automated Interpretability Agent (AIA) generates function descriptions. We find that an AIA, built with an off-the-shelf LM augmented with black-box access to functions, can sometimes infer function structure—acting as a scientist by forming hypotheses, proposing experiments, and updating descriptions in light of new data. However, FIND also reveals that LM-based descriptions capture global function behavior while missing local details. These results suggest that FIND will be useful for characterizing the performance of more sophisticated interpretability methods before they are applied to real-world models.","['Interpretability', 'Explainability', 'Dataset', 'Benchmark', 'LLMs', 'LM Agents', 'Language Model']",[],"['Sarah Schwettmann', 'Tamar Rott Shaham', 'Joanna Materzynska', 'Neil Chowdhury', 'Jacob Andreas', 'David Bau', 'Antonio Torralba']","['Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Northeastern University', 'Massachusetts Institute of Technology']","[None, None, None, None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/72785,Transparency & Explainability,Pairwise Causality Guided Transformers for Event Sequences,"Although pairwise causal relations have been extensively studied in observational longitudinal analyses across many disciplines, incorporating knowledge of causal pairs into deep learning models for temporal event sequences remains largely unexplored. In this paper, we propose a novel approach for enhancing the performance of transformer-based models in multivariate event sequences by injecting pairwise qualitative causal knowledge such as `event Z amplifies future occurrences of event Y'. We establish a new framework for causal inference in temporal event sequences using a transformer architecture, providing a theoretical justification for our approach, and show how to obtain unbiased estimates of the proposed measure. Experimental results demonstrate that our approach outperforms several state-of-the-art models in terms of prediction accuracy by effectively leveraging knowledge about causal pairs. We also consider a unique application where we extract knowledge around sequences of societal events by generating them from a large language model, and demonstrate how a causal knowledge graph can help with event prediction in such sequences. Overall, our framework offers a practical means of improving the performance of transformer-based models in multivariate event sequences by explicitly exploiting pairwise causal information.","['temporal event sequences', 'causal inference', 'transformer', 'causal knowledge graph']",[],"['Xiao Shou', 'Debarun Bhattacharjya', 'Tian Gao', 'Dharmashankar Subramanian', 'Oktie Hassanzadeh', 'Kristin Bennett']","['IBM, International Business Machines', 'Stanford University', 'International Business Machines', 'International Business Machines', 'International Business Machines', 'Rensselaer Polytechnic Institute']","[None, None, None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/71571,Transparency & Explainability,Curve Your Enthusiasm: Concurvity Regularization in Differentiable Generalized Additive Models,"Generalized Additive Models (GAMs) have recently experienced a resurgence in popularity due to their interpretability, which arises from expressing the target value as a sum of non-linear transformations of the features. Despite the current enthusiasm for GAMs, their susceptibility to concurvity — i.e., (possibly non-linear) dependencies between the features — has hitherto been largely overlooked. Here, we demonstrate how concurvity can severly impair the interpretability of GAMs and propose a remedy: a conceptually simple, yet effective regularizer which penalizes pairwise correlations of the non-linearly transformed feature variables. This procedure is applicable to any differentiable additive model, such as Neural Additive Models or NeuralProphet, and enhances interpretability by eliminating ambiguities due to self-canceling feature contributions. We validate the effectiveness of our regularizer in experiments on synthetic as well as real-world datasets for time-series and tabular data. Our experiments show that concurvity in GAMs can be reduced without significantly compromising prediction quality, improving interpretability and reducing variance in the feature importances.","['Interpretable Machine Learning', 'Generalized Additive Models', 'Concurvity', 'Multicollinearity', 'Regularization', 'Time-Series Forecasting', 'Interpretability']",[],"['Julien Niklas Siems', 'Konstantin Ditschuneit', 'Winfried Ripken', 'Alma Lindborg', 'Maximilian Schambach', 'Johannes Otterbach', 'Martin Genzel']","['University of Freiburg, Albert-Ludwigs-Universität Freiburg', 'Merantix Momentum GmbH', 'Merantix Momentum', 'Merantix Momentum', 'Merantix Momentum', 'nyonic', 'Merantix Momentum']","[None, None, None, None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/73882,Transparency & Explainability,Semantic HELM: A Human-Readable Memory for Reinforcement Learning,"Reinforcement learning agents deployed in the real world often have to cope with partially observable environments. Therefore, most agents employ memory mechanisms to approximate the state of the environment. Recently, there have been impressive success stories in mastering partially observable environments, mostly in the realm of computer games like Dota 2, StarCraft II, or MineCraft. However, existing methods lack interpretability in the sense that it is not comprehensible for humans what the agent stores in its memory. In this regard, we propose a novel memory mechanism that represents past events in human language. Our method uses CLIP to associate visual inputs with language tokens. Then we feed these tokens to a pretrained language model that serves the agent as memory and provides it with a coherent and human-readable representation of the past. We train our memory mechanism on a set of partially observable environments and find that it excels on tasks that require a memory component, while mostly attaining performance on-par with strong baselines on tasks that do not. On a challenging continuous recognition task, where memorizing the past is crucial, our memory mechanism converges two orders of magnitude faster than prior methods. Since our memory mechanism is human-readable, we can peek at an agent's memory and check whether crucial pieces of information have been stored. This significantly enhances troubleshooting and paves the way toward more interpretable agents.","['Reinforcement Learning', 'Language Models', 'History Compression', 'Partial Observability', 'Foundation Models', 'Interpretability', 'Explainable AI']",[],"['Fabian Paischer', 'Thomas Adler', 'Markus Hofmarcher', 'Sepp Hochreiter']","[', Johannes Kepler Universität Linz', 'Johannes Kepler University Linz', 'Johannes Kepler Universität Linz', 'Johannes Kepler University Linz']","[None, None, None, None]",,,,,,,
https://nips.cc/virtual/2023/poster/72642,Transparency & Explainability,Mitigating the Effect of Incidental Correlations on Part-based Learning,"Intelligent systems possess a crucial characteristic of breaking complicated problems into smaller reusable components or parts and adjusting to new tasks using these part representations. However, current part-learners encounter difficulties in dealing with incidental correlations resulting from the limited observations of objects that may appear only in specific arrangements or with specific backgrounds. These incidental correlations may have a detrimental impact on the generalization and interpretability of learned part representations. This study asserts that part-based representations could be more interpretable and generalize better with limited data, employing two innovative regularization methods. The first regularization separates foreground and background information's generative process via a unique mixture-of-parts formulation. Structural constraints are imposed on the parts using a weakly-supervised loss, guaranteeing that the mixture-of-parts for foreground and background entails soft, object-agnostic masks. The second regularization assumes the form of a distillation loss, ensuring the invariance of the learned parts to the incidental background correlations. Furthermore, we incorporate sparse and orthogonal constraints to facilitate learning high-quality part representations. By reducing the impact of incidental background correlations on the learned parts, we exhibit state-of-the-art (SoTA) performance on few-shot learning tasks on benchmark datasets, including MiniImagenet, TieredImageNet, and FC100. We also demonstrate that the part-based representations acquired through our approach generalize better than existing techniques, even under domain shifts of the background and common data corruption on the ImageNet-9 dataset.","['part-based learning', 'interpretability', 'few-shot learning', 'vision transformers']",[],"['Gaurav Bhatt', 'Deepayan Das', 'Leonid Sigal', 'Vineeth N. Balasubramanian']","[', University of British Columbia', 'International Institute of Information Technology, Hyderabad, International Institute of Information Technology Hyderabad', 'University of British Columbia', 'n Institute of Technology Hyderabad']","[None, None, None, 'India']",,,,,,,
