link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://openreview.net/forum?id=nkzSE5KkCA,Fairness & Bias,Enhancing Motion in Text-to-Video Generation with Decomposed Encoding and Conditioning,"Despite advancements in Text-to-Video (T2V) generation, producing videos with realistic motion remains challenging. Current models often yield static or minimally dynamic outputs, failing to capture complex motions described by text. This issue stems from the internal biases in text encoding which overlooks motions, and inadequate conditioning mechanisms in T2V generation models. To address this, we propose a novel framework called DEcomposed MOtion (DEMO), which enhances motion synthesis in T2V generation by decomposing both text encoding and conditioning into content and motion components. Our method includes a content encoder for static elements and a motion encoder for temporal dynamics, alongside separate content and motion conditioning mechanisms. Crucially, we introduce text-motion and video-motion supervision to improve the model's understanding and generation of motion. Evaluations on benchmarks such as MSR-VTT, UCF-101, WebVid-10M, EvalCrafter, and VBench demonstrate DEMO's superior ability to produce videos with enhanced motion dynamics while maintaining high visual quality. Our approach significantly advances T2V generation by integrating comprehensive motion understanding directly from textual descriptions. Project page: https://PR-Ryan.github.io/DEMO-project/","['Text-to-Video Generation', 'Diffusion Models']",[],"['Penghui Ruan', 'Pichao WANG', 'Divya Saxena', 'Jiannong Cao', 'Yuhui Shi']","['Department of Computing, Hong Kong Polytechnic University', 'Amazon', 'The Hong Kong Polytechnic University, Hong Kong Polytechnic University', 'Department of Computing, Hong Kong Polytechnic University', 'Southern University of Science and Technology']",
https://openreview.net/forum?id=Oo7dlLgqQX,Fairness & Bias,Questioning the Survey Responses of Large Language Models,"Surveys have recently gained popularity as a tool to study large language models. By comparing models’ survey responses to those of different human reference populations, researchers aim to infer the demographics, political opinions, or values best represented by current language models. In this work, we critically examine language models' survey responses on the basis of the well-established American Community Survey by the U.S. Census Bureau. Evaluating 43 different language models using de-facto standard prompting methodologies, we establish two dominant patterns. First, models' responses are governed by ordering and labeling biases, for example, towards survey responses labeled with the letter “A”. Second, when adjusting for these systematic biases through randomized answer ordering, models across the board trend towards uniformly random survey responses, irrespective of model size or training data. As a result, models consistently appear to better represent subgroups whose aggregate statistics are closest to uniform for the survey under consideration, leading to potentially misguided conclusions about model alignment.","['large language models', 'surveys']",[],"['Ricardo Dominguez-Olmedo', 'Moritz Hardt', 'Celestine Mendler-Dünner']","['Max-Planck-Institute for Intelligent Systems, Max-Planck Institute', 'Max-Planck-Institute for Intelligent Systems, Max-Planck Institute', 'ELLIS Institute Tübingen']",
https://openreview.net/forum?id=GQNvvQquO0,Privacy & Data Governance,Differentially Private Set Representations,"We study the problem of differentially private (DP) mechanisms for representing sets of size $k$ from a large universe. Our first construction creates $(\epsilon,\delta)$-DP representations with error probability of $1/(e^\epsilon + 1)$ using space at most $1.05 k \epsilon \cdot \log(e)$ bits where the time to construct a representation is $O(k \log(1/\delta))$ while decoding time is $O(\log(1/\delta))$. We also present a second algorithm for pure $\epsilon$-DP representations with the same error using space at most $k \epsilon \cdot \log(e)$ bits, but requiring large decoding times. Our algorithms match the lower bounds on privacy-utility trade-offs (including constants but ignoring $\delta$ factors) and we also present a new space lower bound matching our constructions up to small constant factors. To obtain our results, we design a new approach embedding sets into random linear systems deviating from most prior approaches that inject noise into non-private solutions.","['Differential Privacy', 'Data Structure']",[],"['Sarvar Patel', 'Giuseppe Persiano', 'Joon Young Seo', 'Kevin Yeo']","['Google', 'University of Salerno', 'Google', 'Google']",
https://openreview.net/forum?id=BSYn7ah4KX,Fairness & Bias,Bias Amplification in Language Model Evolution: An Iterated Learning Perspective,"With the widespread adoption of Large Language Models (LLMs), the prevalence of iterative interactions among these models is anticipated to increase. Notably, recent advancements in multi-round on-policy self-improving methods allow LLMs to generate new examples for training subsequent models. At the same time, multi-agent LLM systems, involving automated interactions among agents, are also increasing in prominence. Thus, in both short and long terms, LLMs may actively engage in an evolutionary process. We draw parallels between the behavior of LLMs and the evolution of human culture, as the latter has been extensively studied by cognitive scientists for decades. Our approach involves leveraging Iterated Learning (IL), a Bayesian framework that elucidates how subtle biases are magnified during human cultural evolution, to explain some behaviors of LLMs. This paper outlines key characteristics of agents' behavior in the Bayesian-IL framework, including predictions that are supported by experimental verification with various LLMs. This theoretical framework could help to more effectively predict and guide the evolution of LLMs in desired directions.","['Large Language Model', 'LLM Agent', 'Self-improvement', 'Cognitive Science', 'Bayesian', 'Iterated Learning']",[],"['Yi Ren', 'Shangmin Guo', 'Linlu Qiu', 'Bailin Wang', 'Danica J. Sutherland']","['CS, University of British Columbia', 'University of Edinburgh', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'University of British Columbia']",
https://openreview.net/forum?id=h2e4G2YiwR,Fairness & Bias,Action Imitation in Common Action Space for Customized Action Image Synthesis,"We propose a novel method, \textbf{TwinAct}, to tackle the challenge of decoupling actions and actors in order to customize the text-guided diffusion models (TGDMs) for few-shot action image generation. TwinAct addresses the limitations of existing methods that struggle to decouple actions from other semantics (e.g., the actor's appearance) due to the lack of an effective inductive bias with few exemplar images. Our approach introduces a common action space, which is a textual embedding space focused solely on actions, enabling precise customization without actor-related details. Specifically, TwinAct involves three key steps: 1) Building common action space based on a set of representative action phrases; 2) Imitating the customized action within the action space; and 3) Generating highly adaptable customized action images in diverse contexts with action similarity loss. To comprehensively evaluate TwinAct, we construct a novel benchmark, which provides sample images with various forms of actions. Extensive experiments demonstrate TwinAct's superiority in generating accurate, context-independent customized actions while maintaining the identity consistency of different subjects, including animals, humans, and even customized actors.",['customized action; diffusion model; text to image generation'],[],"['Wang Lin', 'Jingyuan Chen', 'Jiaxin Shi', 'Zirun Guo', 'Yichen Zhu', 'Zehan Wang', 'Tao Jin', 'Zhou Zhao', 'Fei Wu', 'Shuicheng YAN', 'Hanwang Zhang']","['zhejiang university, Zhejiang University', '', 'Computer Science and Technology, Huawei Technologies Ltd.', 'Zhejiang University', 'Zhejiang University', 'Zhejiang University', 'Software Engineering, Zhejiang University', 'Zhejiang University', 'Zhejiang University', 'Computer Science, National University of Singapore', 'computer science, Nanyang Technological University']",
https://openreview.net/forum?id=yySpldUsU2,Fairness & Bias,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,"Can we modify the training data distribution to encourage the underlying optimization method toward finding solutions with superior generalization performance on in-distribution data? In this work, we approach this question for the first time by comparing the inductive bias of gradient descent (GD) with that of sharpness-aware minimization (SAM). By studying a two-layer CNN, we rigorously prove that SAM learns different features more uniformly, particularly in early epochs. That is, SAM is less susceptible to simplicity bias compared to GD. We also show that examples constraining features that are learned early are separable from the rest based on the model’s output. Based on this observation, we propose a method that (i) clusters examples based on the network output early in training, (ii) identifies a cluster of examples with similar network output, and (iii) upsamples the rest of examples only once to alleviate the simplicity bias. We show empirically that USEFUL effectively improves the generalization performance on the original data distribution when training with various gradient methods, including (S)GD and SAM. Notably, we demonstrate that our method can be combined with SAM variants and existing data augmentation strategies to achieve, to the best of our knowledge, state-of-the-art performance for training ResNet18 on CIFAR10, STL10, CINIC10, Tiny-ImageNet; ResNet34 on CIFAR100; and VGG19 and DenseNet121 on CIFAR10.","['In-distribution generalization', 'Simplicity bias', 'Data modification', 'Sharpness-aware minimization']",[],"['Dang Nguyen', 'Paymon Haddad', 'Eric Gan', 'Baharan Mirzasoleiman']","['Computer Science, University of California, Los Angeles', 'Samueli School of Engineering and Applied Sciences, University of California, Los Angeles', 'University of California, Los Angeles', 'Computer Science, University of California, Los Angeles']",
https://openreview.net/forum?id=CMgxAaRqZh,Security,Accelerating Greedy Coordinate Gradient and General Prompt Optimization via Probe Sampling,"Safety of Large Language Models (LLMs) has become a central issue given their rapid progress and wide applications. Greedy Coordinate Gradient (GCG) is shown to be effective in constructing prompts containing adversarial suffixes to break the presumingly safe LLMs, but the optimization of GCG is time-consuming and limits its practicality. To reduce the time cost of GCG and enable more comprehensive studies of LLM safety, in this work, we study a new algorithm called $\texttt{Probe sampling}$ to accelerate the GCG algorithm. At the core of the algorithm is a mechanism that dynamically determines how similar a smaller draft model's predictions are to the target model's predictions for prompt candidates. When the target model is similar to the draft model, we rely heavily on the draft model to filter out a large number of potential prompt candidates to reduce the computation time. Probe sampling achieves up to $5.6$ times speedup using Llama2-7b-chat and leads to equal or improved attack success rate (ASR) on the AdvBench. Furthermore, probe sampling is also able to accelerate other prompt optimization techniques and adversarial attack methods, leading to acceleration of $1.8\times$ for AutoPrompt, $2.4\times$ for APE and $2.4\times$ for AutoDAN.","['Large Language Model', 'Prompt Optimization', 'Alignment', 'Jailbreak', 'Acceleration']",[],"['Yiran Zhao', 'Wenyue Zheng', 'Tianle Cai', 'Do Xuan Long', 'Kenji Kawaguchi', 'Anirudh Goyal', 'Michael Shieh']","['National University of Singapore', 'National University of Singapore', 'Princeton University', 'National University of Singapore', 'National University of Singapore', 'Google DeepMind', '']",
https://openreview.net/forum?id=V3QZCM1AQv,Security,REBORN: Reinforcement-Learned Boundary Segmentation with Iterative Training for Unsupervised ASR,"Unsupervised automatic speech recognition (ASR) aims to learn the mapping between the speech signal and its corresponding textual transcription without the supervision of paired speech-text data. A word/phoneme in the speech signal is represented by a segment of speech signal with variable length and unknown boundary, and this segmental structure makes learning the mapping between speech and text challenging, especially without paired data. In this paper, we propose REBORN, Reinforcement-Learned Boundary Segmentation with Iterative Training for Unsupervised ASR. REBORN alternates between (1) training a segmentation model that predicts the boundaries of the segmental structures in speech signals and (2) training the phoneme prediction model, whose input is a segmental structure segmented by the segmentation model, to predict a phoneme transcription. Since supervised data for training the segmentation model is not available, we use reinforcement learning to train the segmentation model to favor segmentations that yield phoneme sequence predictions with a lower perplexity. We conduct extensive experiments and find that under the same setting, REBORN outperforms all prior unsupervised ASR models on LibriSpeech, TIMIT, and five non-English languages in Multilingual LibriSpeech. We comprehensively analyze why the boundaries learned by REBORN improve the unsupervised ASR performance.","['Speech processing', 'unsupervised learning', 'reinforcement learning', 'adversarial learning']",[],"['Liang-Hsuan Tseng', 'En-Pei Hu', 'Cheng-Han Chiang', 'Yuan Tseng', 'Hung-yi Lee', 'Lin-shan Lee', 'Shao-Hua Sun']","['National Taiwan University', 'National Taiwan University', 'National Taiwan University', 'National Taiwan University', 'Department of Electrical Engineering, National Taiwan University', 'National Taiwan University', 'National Taiwan University']",
https://openreview.net/forum?id=MI8Z9gutIn,Fairness & Bias,Memory-Efficient Gradient Unrolling for Large-Scale Bi-level Optimization,"Bi-level optimizaiton (BO) has become a fundamental mathematical framework for addressing hierarchical machine learning problems. As deep learning models continue to grow in size, the demand for scalable bi-level optimization has become increasingly critical. Traditional gradient-based bi-level optimizaiton algorithms, due to their inherent characteristics, are ill-suited to meet the demands of large-scale applications. In this paper, we introduce **F**orward **G**radient **U**nrolling with **F**orward **G**radient, abbreviated as **$($FG$)^2$U**, which achieves an unbiased stochastic approximation of the meta gradient for bi-level optimizaiton. $($FG$)^2$U circumvents the memory and approximation issues associated with classical bi-level optimizaiton approaches, and delivers significantly more accurate gradient estimates than existing large-scale bi-level optimizaiton approaches. Additionally, $($FG$)^2$U is inherently designed to support parallel computing, enabling it to effectively leverage large-scale distributed computing systems to achieve significant computational efficiency. In practice, $($FG$)^2$U and other methods can be strategically placed at different stages of the training process to achieve a more cost-effective two-phase paradigm. Further, $($FG$)^2$U is easy to implement within popular deep learning frameworks, and can be conveniently adapted to address more challenging zeroth-order bi-level optimizaiton scenarios. We provide a thorough convergence analysis and a comprehensive practical discussion for $($FG$)^2$U, complemented by extensive empirical evaluations, showcasing its superior performance in diverse large-scale bi-level optimizaiton tasks.","['bi-level optimization', 'large-scale optimization', 'meta learning']",[],"['Qianli Shen', 'Yezhen Wang', 'Zhouhao Yang', 'Xiang Li', 'Haonan Wang', 'Yang Zhang', 'Jonathan Scarlett', 'Zhanxing Zhu', 'Kenji Kawaguchi']","['School of Computing, national university of singaore, National University of Singapore', 'National University of Singapore', 'Applied Mathematics and Statistics, Johns Hopkins University', 'national university of singaore, National University of Singapore', 'School of Computing, national university of singaore, National University of Singapore', 'National University of Singapore', 'National University of Singapore', 'University of Southampton', 'National University of Singapore']",
https://openreview.net/forum?id=8Fxqn1tZM1,Fairness & Bias,Scale Equivariant Graph Metanetworks,"This paper pertains to an emerging machine learning paradigm: learning higher- order functions, i.e. functions whose inputs are functions themselves, particularly when these inputs are Neural Networks (NNs). With the growing interest in architectures that process NNs, a recurring design principle has permeated the field: adhering to the permutation symmetries arising from the connectionist structure of NNs. However, are these the sole symmetries present in NN parameterizations? Zooming into most practical activation functions (e.g. sine, ReLU, tanh) answers this question negatively and gives rise to intriguing new symmetries, which we collectively refer to as scaling symmetries, that is, non-zero scalar multiplications and divisions of weights and biases. In this work, we propose Scale Equivariant Graph MetaNetworks - ScaleGMNs, a framework that adapts the Graph Metanetwork (message-passing) paradigm by incorporating scaling symmetries and thus rendering neuron and edge representations equivariant to valid scalings. We introduce novel building blocks, of independent technical interest, that allow for equivariance or invariance with respect to individual scalar multipliers or their product and use them in all components of ScaleGMN. Furthermore, we prove that, under certain expressivity conditions, ScaleGMN can simulate the forward and backward pass of any input feedforward neural network. Experimental results demonstrate that our method advances the state-of-the-art performance for several datasets and activation functions, highlighting the power of scaling symmetries as an inductive bias for NN processing. The source code is publicly available at https://github.com/jkalogero/scalegmn.","['graph neural networks', 'weight space networks', 'implicit neural representations', 'symmetries']",[],"['Ioannis Kalogeropoulos', 'Giorgos Bouritsas', 'Yannis Panagakis']","['Department of Informatics and Telecommunications', 'Archimedes unit, Athena Research Center', '']",
